Date,Tesla Quarterly Revenue
2025/9/30,"$28,095 "
2025/6/30,"$22,496 "
2025/3/31,"$19,335 "
2024/12/31,"$25,707 "
2024/9/30,"$25,182 "
2024/6/30,"$25,500 "
2024/3/31,"$21,301 "
2023/12/31,"$25,167 "
2023/9/30,"$23,350 "
2023/6/30,"$24,927 "
2023/3/31,"$23,329 "
2022/12/31,"$24,318 "
2022/9/30,"$21,454 "
2022/6/30,"$16,934 "
2022/3/31,"$18,756 "
2021/12/31,"$17,719 "
2021/9/30,"$13,757 "
2021/6/30,"$11,958 "
2021/3/31,"$10,389 "
2020/12/31,"$10,744 "
2020/9/30,"$8,771 "
2020/6/30,"$6,036 "
2020/3/31,"$5,985 "
2019/12/31,"$7,384 "
2019/9/30,"$6,303 "
2019/6/30,"$6,350 "
2019/3/31,"$4,541 "
2018/12/31,"$7,226 "
2018/9/30,"$6,824 "
2018/6/30,"$4,002 "
2018/3/31,"$3,409 "
2017/12/31,"$3,288 "
2017/9/30,"$2,985 "
2017/6/30,"$2,790 "
2017/3/31,"$2,696 "
2016/12/31,"$2,285 "
2016/9/30,"$2,298 "
2016/6/30,"$1,270 "
2016/3/31,"$1,147 "
2015/12/31,"$1,214 "
2015/9/30,$937 
2015/6/30,$955 
2015/3/31,$940 
2014/12/31,$957 
2014/9/30,$852 
2014/6/30,$769 
2014/3/31,$621 
2013/12/31,$615 
2013/9/30,$431 
2013/6/30,$405 
2013/3/31,$562 
2012/12/31,$306 
2012/9/30,$50 
2012/6/30,$27 
2012/3/31,$30 
2011/12/31,$39 
2011/9/30,$58 
2011/6/30,$58 
2011/3/31,$49 
2010/12/31,$36 
